year,week,rank,team,record,scraped_at
2019,Week 15,14,Michigan,9-3,2025-08-09T09:45:02.312116
2019,Week 15,15,Notre Dame,10-2,2025-08-09T09:45:02.312201
2019,Week 15,16,Iowa,9-3,2025-08-09T09:45:02.312286
2019,Week 15,17,Memphis,12-1,2025-08-09T09:45:02.312371
2019,Week 15,18,Minnesota,10-2,2025-08-09T09:45:02.312459
2019,Week 15,19,Boise State,12-1,2025-08-09T09:45:02.312544
2019,Week 15,20,Appalachian State,12-1,2025-08-09T09:45:02.312629
2019,Week 15,21,Cincinnati,10-3,2025-08-09T09:45:02.312714
2019,Week 15,22,Southern California,8-4,2025-08-09T09:45:02.312799
2019,Week 15,23,Navy,9-2,2025-08-09T09:45:02.312884
2019,Week 15,24,Virginia,9-4,2025-08-09T09:45:02.312969
2019,Week 15,25,Oklahoma State,8-4,2025-08-09T09:45:02.313062
2020,Week 13,1,Alabama,7-0,2025-08-09T09:44:34.205242
2020,Week 13,2,Notre Dame,8-0,2025-08-09T09:44:34.205338
2020,Week 13,3,Clemson,7-1,2025-08-09T09:44:34.205421
2020,Week 13,4,Ohio State,4-0,2025-08-09T09:44:34.205503
2020,Week 13,5,Texas A&M,5-1,2025-08-09T09:44:34.205584
2020,Week 13,6,Florida,6-1,2025-08-09T09:44:34.205665
2020,Week 13,7,Cincinnati,8-0,2025-08-09T09:44:34.205745
2020,Week 13,8,Northwestern,5-0,2025-08-09T09:44:34.205827
2020,Week 13,9,Georgia,5-2,2025-08-09T09:44:34.205909
2020,Week 13,10,Miami,7-1,2025-08-09T09:44:34.205992
2020,Week 13,11,Oklahoma,6-2,2025-08-09T09:44:34.206076
2020,Week 13,12,Indiana,4-1,2025-08-09T09:44:34.206159
2020,Week 13,13,Iowa State,6-2,2025-08-09T09:44:34.206244
2020,Week 13,14,BYU,9-0,2025-08-09T09:44:34.206329
2020,Week 13,15,Oregon,3-0,2025-08-09T09:44:34.206415
2020,Week 13,16,Wisconsin,2-1,2025-08-09T09:44:34.206504
2020,Week 13,17,Texas,5-2,2025-08-09T09:44:34.206590
2020,Week 13,18,Southern California,3-0,2025-08-09T09:44:34.206675
2020,Week 13,19,North Carolina,6-2,2025-08-09T09:44:34.206758
2020,Week 13,20,Coastal Carolina,8-0,2025-08-09T09:44:34.206842
2020,Week 13,21,Marshall,7-0,2025-08-09T09:44:34.206930
2020,Week 13,22,Auburn,5-2,2025-08-09T09:44:34.207015
2020,Week 13,23,Oklahoma State,5-2,2025-08-09T09:44:34.207103
2020,Week 13,24,Iowa,3-2,2025-08-09T09:44:34.207188
2020,Week 13,25,Tulsa,5-1,2025-08-09T09:44:34.207272
2020,Week 14,1,Alabama,8-0,2025-08-09T09:44:23.891221
2020,Week 14,2,Notre Dame,9-0,2025-08-09T09:44:23.891357
2020,Week 14,3,Clemson,8-1,2025-08-09T09:44:23.891479
2020,Week 14,4,Ohio State,4-0,2025-08-09T09:44:23.891569
2020,Week 14,5,Texas A&M,6-1,2025-08-09T09:44:23.891693
2020,Week 14,6,Florida,7-1,2025-08-09T09:44:23.891808
2020,Week 14,7,Cincinnati,8-0,2025-08-09T09:44:23.891897
2020,Week 14,8,Georgia,6-2,2025-08-09T09:44:23.891981
2020,Week 14,9,Iowa State,7-2,2025-08-09T09:44:23.892065
2020,Week 14,10,Miami,7-1,2025-08-09T09:44:23.892216
2020,Week 14,11,Oklahoma,6-2,2025-08-09T09:44:23.892304
2020,Week 14,12,Indiana,5-1,2025-08-09T09:44:23.892388
2020,Week 14,13,BYU,9-0,2025-08-09T09:44:23.892472
2020,Week 14,14,Northwestern,5-1,2025-08-09T09:44:23.892555
2020,Week 14,15,Oklahoma State,6-2,2025-08-09T09:44:23.892638
2020,Week 14,16,Wisconsin,2-1,2025-08-09T09:44:23.892724
2020,Week 14,17,North Carolina,6-3,2025-08-09T09:44:23.892808
2020,Week 14,18,Coastal Carolina,9-0,2025-08-09T09:44:23.892894
2020,Week 14,19,Iowa,4-2,2025-08-09T09:44:23.892981
2020,Week 14,20,Southern California,3-0,2025-08-09T09:44:23.893065
2020,Week 14,21,Marshall,7-0,2025-08-09T09:44:23.893149
2020,Week 14,22,Washington,3-0,2025-08-09T09:44:23.893233
2020,Week 14,23,Oregon,3-1,2025-08-09T09:44:23.893316
2020,Week 14,24,Tulsa,5-1,2025-08-09T09:44:23.893440
2020,Week 14,25,Louisiana,8-1,2025-08-09T09:44:23.893599
2020,Week 15,1,Alabama,9-0,2025-08-09T09:44:13.529079
2020,Week 15,2,Notre Dame,10-0,2025-08-09T09:44:13.529171
2020,Week 15,3,Clemson,9-1,2025-08-09T09:44:13.529253
2020,Week 15,4,Ohio State,5-0,2025-08-09T09:44:13.529333
2020,Week 15,5,Texas A&M,7-1,2025-08-09T09:44:13.529412
2020,Week 15,6,Florida,8-1,2025-08-09T09:44:13.529491
2020,Week 15,7,Iowa State,8-2,2025-08-09T09:44:13.529570
2020,Week 15,8,Cincinnati,8-0,2025-08-09T09:44:13.529650
2020,Week 15,9,Georgia,6-2,2025-08-09T09:44:13.529728
2020,Week 15,10,Miami,8-1,2025-08-09T09:44:13.529851
2020,Week 15,11,Oklahoma,7-2,2025-08-09T09:44:13.529929
2020,Week 15,12,Indiana,6-1,2025-08-09T09:44:13.530007
2020,Week 15,13,Coastal Carolina,10-0,2025-08-09T09:44:13.530085
2020,Week 15,14,Northwestern,5-1,2025-08-09T09:44:13.530162
2020,Week 15,15,Southern California,4-0,2025-08-09T09:44:13.530241
2020,Week 15,16,Iowa,5-2,2025-08-09T09:44:13.530320
2020,Week 15,17,North Carolina,7-3,2025-08-09T09:44:13.530398
2020,Week 15,18,BYU,9-1,2025-08-09T09:44:13.530520
2020,Week 15,19,Louisiana,9-1,2025-08-09T09:44:13.530598
2020,Week 15,20,Texas,6-3,2025-08-09T09:44:13.530677
2020,Week 15,21,Colorado,4-0,2025-08-09T09:44:13.530755
2020,Week 15,22,Oklahoma State,6-3,2025-08-09T09:44:13.530833
2020,Week 15,23,NC State,8-3,2025-08-09T09:44:13.530910
2020,Week 15,24,Tulsa,6-1,2025-08-09T09:44:13.530988
2020,Week 15,25,Missouri,5-3,2025-08-09T09:44:13.531067
2021,Week 10,1,Georgia,8-0,2025-08-09T09:43:51.430524
2021,Week 10,2,Alabama,7-1,2025-08-09T09:43:51.430611
2021,Week 10,3,Michigan State,8-0,2025-08-09T09:43:51.430686
2021,Week 10,4,Oregon,7-1,2025-08-09T09:43:51.430759
2021,Week 10,5,Ohio State,7-1,2025-08-09T09:43:51.430832
2021,Week 10,6,Cincinnati,8-0,2025-08-09T09:43:51.430904
2021,Week 10,7,Michigan,7-1,2025-08-09T09:43:51.430976
2021,Week 10,8,Oklahoma,9-0,2025-08-09T09:43:51.431048
2021,Week 10,9,Wake Forest,8-0,2025-08-09T09:43:51.431119
2021,Week 10,10,Notre Dame,7-1,2025-08-09T09:43:51.431191
2021,Week 10,11,Oklahoma State,7-1,2025-08-09T09:43:51.431264
2021,Week 10,12,Baylor,7-1,2025-08-09T09:43:51.431336
2021,Week 10,13,Auburn,6-2,2025-08-09T09:43:51.431408
2021,Week 10,14,Texas A&M,6-2,2025-08-09T09:43:51.431479
2021,Week 10,15,BYU,7-2,2025-08-09T09:43:51.431552
2021,Week 10,16,Mississippi,6-2,2025-08-09T09:43:51.431624
2021,Week 10,17,Mississippi State,5-3,2025-08-09T09:43:51.431696
2021,Week 10,18,Kentucky,6-2,2025-08-09T09:43:51.431769
2021,Week 10,19,NC State,6-2,2025-08-09T09:43:51.431840
2021,Week 10,20,Minnesota,6-2,2025-08-09T09:43:51.431912
2021,Week 10,21,Wisconsin,5-3,2025-08-09T09:43:51.431984
2021,Week 10,22,Iowa,6-2,2025-08-09T09:43:51.432056
2021,Week 10,23,Fresno State,7-2,2025-08-09T09:43:51.432129
2021,Week 10,24,San Diego State,7-1,2025-08-09T09:43:51.432200
2021,Week 10,25,Pittsburgh,6-2,2025-08-09T09:43:51.432271
2021,Week 11,1,Georgia,9-0,2025-08-09T09:43:41.128430
2021,Week 11,2,Alabama,8-1,2025-08-09T09:43:41.128522
2021,Week 11,3,Oregon,8-1,2025-08-09T09:43:41.128601
2021,Week 11,4,Ohio State,8-1,2025-08-09T09:43:41.128679
2021,Week 11,5,Cincinnati,9-0,2025-08-09T09:43:41.128755
2021,Week 11,6,Michigan,8-1,2025-08-09T09:43:41.128831
2021,Week 11,7,Michigan State,8-1,2025-08-09T09:43:41.128907
2021,Week 11,8,Oklahoma,9-0,2025-08-09T09:43:41.128982
2021,Week 11,9,Notre Dame,8-1,2025-08-09T09:43:41.129059
2021,Week 11,10,Oklahoma State,8-1,2025-08-09T09:43:41.129134
2021,Week 11,11,Texas A&M,7-2,2025-08-09T09:43:41.129210
2021,Week 11,12,Wake Forest,8-1,2025-08-09T09:43:41.129287
2021,Week 11,13,Baylor University,7-2,2025-08-09T09:43:41.129364
2021,Week 11,14,BYU,8-2,2025-08-09T09:43:41.129440
2021,Week 11,15,Mississippi,7-2,2025-08-09T09:43:41.129516
2021,Week 11,16,NC State,7-2,2025-08-09T09:43:41.129592
2021,Week 11,17,Auburn,6-3,2025-08-09T09:43:41.129669
2021,Week 11,18,Wisconsin,6-3,2025-08-09T09:43:41.129745
2021,Week 11,19,Purdue,6-3,2025-08-09T09:43:41.129820
2021,Week 11,20,Iowa,7-2,2025-08-09T09:43:41.129896
2021,Week 11,21,Pittsburgh,7-2,2025-08-09T09:43:41.129973
2021,Week 11,22,San Diego State,8-1,2025-08-09T09:43:41.130049
2021,Week 11,23,UTSA,9-0,2025-08-09T09:43:41.130125
2021,Week 11,24,Utah,6-3,2025-08-09T09:43:41.130201
2021,Week 11,25,Arkansas,6-3,2025-08-09T09:43:41.130276
2021,Week 12,1,Georgia,10-0,2025-08-09T09:43:30.849507
2021,Week 12,2,Alabama,9-1,2025-08-09T09:43:30.849597
2021,Week 12,3,Oregon,9-1,2025-08-09T09:43:30.849709
2021,Week 12,4,Ohio State,9-1,2025-08-09T09:43:30.849786
2021,Week 12,5,Cincinnati,10-0,2025-08-09T09:43:30.849863
2021,Week 12,6,Michigan,9-1,2025-08-09T09:43:30.849940
2021,Week 12,7,Michigan State,9-1,2025-08-09T09:43:30.850017
2021,Week 12,8,Notre Dame,9-1,2025-08-09T09:43:30.850094
2021,Week 12,9,Oklahoma State,9-1,2025-08-09T09:43:30.850171
2021,Week 12,10,Wake Forest,9-1,2025-08-09T09:43:30.850303
2021,Week 12,11,Baylor,8-2,2025-08-09T09:43:30.850382
2021,Week 12,12,Mississippi,8-2,2025-08-09T09:43:30.850473
2021,Week 12,13,Oklahoma,9-1,2025-08-09T09:43:30.850550
2021,Week 12,14,BYU,8-2,2025-08-09T09:43:30.850641
2021,Week 12,15,Wisconsin,7-3,2025-08-09T09:43:30.850721
2021,Week 12,16,Texas A&M,7-3,2025-08-09T09:43:30.850800
2021,Week 12,17,Iowa,8-2,2025-08-09T09:43:30.850878
2021,Week 12,18,Pittsburgh,8-2,2025-08-09T09:43:30.850956
2021,Week 12,19,San Diego State,9-1,2025-08-09T09:43:30.851035
2021,Week 12,20,NC State,7-3,2025-08-09T09:43:30.851114
2021,Week 12,21,Arkansas,7-3,2025-08-09T09:43:30.851192
2021,Week 12,22,UTSA,10-0,2025-08-09T09:43:30.851272
2021,Week 12,23,Utah,7-3,2025-08-09T09:43:30.851352
2021,Week 12,24,Houston,9-1,2025-08-09T09:43:30.851431
2021,Week 12,25,Mississippi State,6-4,2025-08-09T09:43:30.851510
2021,Week 13,1,Georgia,11-0,2025-08-09T09:43:20.535869
2021,Week 13,2,Ohio State,10-1,2025-08-09T09:43:20.535955
2021,Week 13,3,Alabama,10-1,2025-08-09T09:43:20.536031
2021,Week 13,4,Cincinnati,11-0,2025-08-09T09:43:20.536105
2021,Week 13,5,Michigan,10-1,2025-08-09T09:43:20.536179
2021,Week 13,6,Notre Dame,10-1,2025-08-09T09:43:20.536252
2021,Week 13,7,Oklahoma State,10-1,2025-08-09T09:43:20.536325
2021,Week 13,8,Baylor,9-2,2025-08-09T09:43:20.536398
2021,Week 13,9,Mississippi,9-2,2025-08-09T09:43:20.536470
2021,Week 13,10,Oklahoma,10-1,2025-08-09T09:43:20.536542
2021,Week 13,11,Oregon,9-2,2025-08-09T09:43:20.536616
2021,Week 13,12,Michigan State,9-2,2025-08-09T09:43:20.536690
2021,Week 13,13,BYU,9-2,2025-08-09T09:43:20.536807
2021,Week 13,14,Wisconsin,8-3,2025-08-09T09:43:20.536880
2021,Week 13,15,Texas A&M,8-3,2025-08-09T09:43:20.536952
2021,Week 13,16,Iowa,9-2,2025-08-09T09:43:20.537024
2021,Week 13,17,Pittsburgh,9-2,2025-08-09T09:43:20.537097
2021,Week 13,18,Wake Forest,9-2,2025-08-09T09:43:20.537171
2021,Week 13,19,Utah,8-3,2025-08-09T09:43:20.537243
2021,Week 13,20,NC State,8-3,2025-08-09T09:43:20.537315
2021,Week 13,21,San Diego State,10-1,2025-08-09T09:43:20.537388
2021,Week 13,22,UTSA,11-0,2025-08-09T09:43:20.537461
2021,Week 13,23,Clemson,8-3,2025-08-09T09:43:20.537532
2021,Week 13,24,Houston,10-1,2025-08-09T09:43:20.537605
2021,Week 13,25,Arkansas,7-4,2025-08-09T09:43:20.537677
2021,Week 14,1,Georgia,12-0,2025-08-09T09:43:10.228421
2021,Week 14,2,Michigan,11-1,2025-08-09T09:43:10.228515
2021,Week 14,3,Alabama,11-1,2025-08-09T09:43:10.228595
2021,Week 14,4,Cincinnati,12-0,2025-08-09T09:43:10.228674
2021,Week 14,5,Oklahoma State,11-1,2025-08-09T09:43:10.228753
2021,Week 14,6,Notre Dame,11-1,2025-08-09T09:43:10.228831
2021,Week 14,7,Ohio State,10-2,2025-08-09T09:43:10.228909
2021,Week 14,8,Mississippi,10-2,2025-08-09T09:43:10.228987
2021,Week 14,9,Baylor,10-2,2025-08-09T09:43:10.229065
2021,Week 14,10,Oregon,10-2,2025-08-09T09:43:10.229144
2021,Week 14,11,Michigan State,10-2,2025-08-09T09:43:10.229223
2021,Week 14,12,BYU,10-2,2025-08-09T09:43:10.229300
2021,Week 14,13,Iowa,10-2,2025-08-09T09:43:10.229380
2021,Week 14,14,Oklahoma,10-2,2025-08-09T09:43:10.229459
2021,Week 14,15,Pittsburgh,10-2,2025-08-09T09:43:10.229539
2021,Week 14,16,Wake Forest,10-2,2025-08-09T09:43:10.229619
2021,Week 14,17,Utah,9-3,2025-08-09T09:43:10.229697
2021,Week 14,18,NC State,9-3,2025-08-09T09:43:10.229776
2021,Week 14,19,San Diego State,11-1,2025-08-09T09:43:10.229854
2021,Week 14,20,Clemson,9-3,2025-08-09T09:43:10.229934
2021,Week 14,21,Houston,11-1,2025-08-09T09:43:10.230012
2021,Week 14,22,Arkansas,8-4,2025-08-09T09:43:10.230091
2021,Week 14,23,Kentucky,9-3,2025-08-09T09:43:10.230169
2021,Week 14,24,Louisiana,11-1,2025-08-09T09:43:10.230249
2021,Week 14,25,Texas A&M,8-4,2025-08-09T09:43:10.230327
2021,Week 15,1,Alabama,12-1,2025-08-09T09:42:59.871217
2021,Week 15,2,Michigan,12-1,2025-08-09T09:42:59.871303
2021,Week 15,3,Georgia,12-1,2025-08-09T09:42:59.871378
2021,Week 15,4,Cincinnati,13-0,2025-08-09T09:42:59.871453
2021,Week 15,5,Notre Dame,11-1,2025-08-09T09:42:59.871525
2021,Week 15,6,Ohio State,10-2,2025-08-09T09:42:59.871597
2021,Week 15,7,Baylor,11-2,2025-08-09T09:42:59.871670
2021,Week 15,8,Mississippi,10-2,2025-08-09T09:42:59.871742
2021,Week 15,9,Oklahoma State,11-2,2025-08-09T09:42:59.871818
2021,Week 15,10,Michigan State,10-2,2025-08-09T09:42:59.871891
2021,Week 15,11,Utah,10-3,2025-08-09T09:42:59.871963
2021,Week 15,12,Pittsburgh,11-2,2025-08-09T09:42:59.872036
2021,Week 15,13,BYU,10-2,2025-08-09T09:42:59.872108
2021,Week 15,14,Oregon,10-3,2025-08-09T09:42:59.872180
2021,Week 15,15,Iowa,10-3,2025-08-09T09:42:59.872252
2021,Week 15,16,Oklahoma,10-2,2025-08-09T09:42:59.872323
2021,Week 15,17,Wake Forest,10-3,2025-08-09T09:42:59.872394
2021,Week 15,18,NC State,9-3,2025-08-09T09:42:59.872466
2021,Week 15,19,Clemson,9-3,2025-08-09T09:42:59.872538
2021,Week 15,20,Houston,11-2,2025-08-09T09:42:59.872610
2021,Week 15,21,Arkansas,8-4,2025-08-09T09:42:59.872682
2021,Week 15,22,Kentucky,9-3,2025-08-09T09:42:59.872754
2021,Week 15,23,Louisiana,12-1,2025-08-09T09:42:59.872826
2021,Week 15,24,San Diego State,11-2,2025-08-09T09:42:59.872898
2021,Week 15,25,Texas A&M,8-4,2025-08-09T09:42:59.872974
2022,Week 10,1,Georgia,9-0,2025-08-09T09:42:38.202609
2022,Week 10,2,Ohio State,9-0,2025-08-09T09:42:38.202700
2022,Week 10,3,Michigan,9-0,2025-08-09T09:42:38.202780
2022,Week 10,4,TCU,9-0,2025-08-09T09:42:38.202857
2022,Week 10,5,Tennessee,8-1,2025-08-09T09:42:38.202935
2022,Week 10,6,Oregon,8-1,2025-08-09T09:42:38.203010
2022,Week 10,7,LSU,7-2,2025-08-09T09:42:38.203087
2022,Week 10,8,Southern California,8-1,2025-08-09T09:42:38.203165
2022,Week 10,9,Alabama,7-2,2025-08-09T09:42:38.203243
2022,Week 10,10,Clemson,8-1,2025-08-09T09:42:38.203320
2022,Week 10,11,Mississippi,8-1,2025-08-09T09:42:38.203397
2022,Week 10,12,UCLA,8-1,2025-08-09T09:42:38.203474
2022,Week 10,13,Utah,7-2,2025-08-09T09:42:38.203551
2022,Week 10,14,Penn State,7-2,2025-08-09T09:42:38.203627
2022,Week 10,15,North Carolina,8-1,2025-08-09T09:42:38.203704
2022,Week 10,16,NC State,7-2,2025-08-09T09:42:38.203781
2022,Week 10,17,Tulane,8-1,2025-08-09T09:42:38.203857
2022,Week 10,18,Texas,6-3,2025-08-09T09:42:38.203932
2022,Week 10,19,Kansas State,6-3,2025-08-09T09:42:38.204007
2022,Week 10,20,Notre Dame,6-3,2025-08-09T09:42:38.204082
2022,Week 10,21,Illinois,7-2,2025-08-09T09:42:38.204157
2022,Week 10,22,UCF,7-2,2025-08-09T09:42:38.204233
2022,Week 10,23,Florida State,6-3,2025-08-09T09:42:38.204308
2022,Week 10,24,Kentucky,6-3,2025-08-09T09:42:38.204384
2022,Week 10,25,Washington,7-2,2025-08-09T09:42:38.204459
2022,Week 11,1,Georgia,10-0,2025-08-09T09:42:27.903622
2022,Week 11,2,Ohio State,10-0,2025-08-09T09:42:27.903713
2022,Week 11,3,Michigan,10-0,2025-08-09T09:42:27.903793
2022,Week 11,4,TCU,10-0,2025-08-09T09:42:27.903871
2022,Week 11,5,Tennessee,9-1,2025-08-09T09:42:27.903949
2022,Week 11,6,LSU,8-2,2025-08-09T09:42:27.904026
2022,Week 11,7,Southern California,9-1,2025-08-09T09:42:27.904102
2022,Week 11,8,Alabama,8-2,2025-08-09T09:42:27.904177
2022,Week 11,9,Clemson,9-1,2025-08-09T09:42:27.904253
2022,Week 11,10,Utah,8-2,2025-08-09T09:42:27.904329
2022,Week 11,11,Penn State,8-2,2025-08-09T09:42:27.904405
2022,Week 11,12,Oregon,8-2,2025-08-09T09:42:27.904486
2022,Week 11,13,North Carolina,9-1,2025-08-09T09:42:27.904562
2022,Week 11,14,Mississippi,8-2,2025-08-09T09:42:27.904640
2022,Week 11,15,Kansas State,7-3,2025-08-09T09:42:27.904716
2022,Week 11,16,UCLA,8-2,2025-08-09T09:42:27.904792
2022,Week 11,17,Washington,8-2,2025-08-09T09:42:27.904868
2022,Week 11,18,Notre Dame,7-3,2025-08-09T09:42:27.904944
2022,Week 11,19,Florida State,7-3,2025-08-09T09:42:27.905020
2022,Week 11,20,UCF,8-2,2025-08-09T09:42:27.905095
2022,Week 11,21,Tulane,8-2,2025-08-09T09:42:27.905170
2022,Week 11,22,Oklahoma State,7-3,2025-08-09T09:42:27.905246
2022,Week 11,23,Oregon State,7-3,2025-08-09T09:42:27.905322
2022,Week 11,24,NC State,7-3,2025-08-09T09:42:27.905398
2022,Week 11,25,Cincinnati,8-2,2025-08-09T09:42:27.905474
2022,Week 12,1,Georgia,11-0,2025-08-09T09:42:17.605905
2022,Week 12,2,Ohio State,11-0,2025-08-09T09:42:17.605996
2022,Week 12,3,Michigan,11-0,2025-08-09T09:42:17.606075
2022,Week 12,4,TCU,11-0,2025-08-09T09:42:17.606153
2022,Week 12,5,LSU,9-2,2025-08-09T09:42:17.606230
2022,Week 12,6,Southern California,10-1,2025-08-09T09:42:17.606306
2022,Week 12,7,Alabama,9-2,2025-08-09T09:42:17.606382
2022,Week 12,8,Clemson,10-1,2025-08-09T09:42:17.606459
2022,Week 12,9,Oregon,9-2,2025-08-09T09:42:17.606535
2022,Week 12,10,Tennessee,9-2,2025-08-09T09:42:17.606611
2022,Week 12,11,Penn State,9-2,2025-08-09T09:42:17.606687
2022,Week 12,12,Kansas State,8-3,2025-08-09T09:42:17.606764
2022,Week 12,13,Washington,9-2,2025-08-09T09:42:17.606841
2022,Week 12,14,Utah,8-3,2025-08-09T09:42:17.606918
2022,Week 12,15,Notre Dame,8-3,2025-08-09T09:42:17.606993
2022,Week 12,16,Florida State,8-3,2025-08-09T09:42:17.607069
2022,Week 12,17,North Carolina,9-2,2025-08-09T09:42:17.607145
2022,Week 12,18,UCLA,8-3,2025-08-09T09:42:17.607221
2022,Week 12,19,Tulane,9-2,2025-08-09T09:42:17.607297
2022,Week 12,20,Mississippi,8-3,2025-08-09T09:42:17.607373
2022,Week 12,21,Oregon State,8-3,2025-08-09T09:42:17.607449
2022,Week 12,22,UCF,8-3,2025-08-09T09:42:17.607525
2022,Week 12,23,Texas,7-4,2025-08-09T09:42:17.607601
2022,Week 12,24,Cincinnati,9-2,2025-08-09T09:42:17.607677
2022,Week 12,25,Louisville,7-4,2025-08-09T09:42:17.607752
2022,Week 13,1,Georgia,12-0,2025-08-09T09:42:07.287714
2022,Week 13,2,Michigan,12-0,2025-08-09T09:42:07.287809
2022,Week 13,3,TCU,12-0,2025-08-09T09:42:07.287892
2022,Week 13,4,Southern California,11-1,2025-08-09T09:42:07.288022
2022,Week 13,5,Ohio State,11-1,2025-08-09T09:42:07.288144
2022,Week 13,6,Alabama,10-2,2025-08-09T09:42:07.288224
2022,Week 13,7,Tennessee,10-2,2025-08-09T09:42:07.288304
2022,Week 13,8,Penn State,10-2,2025-08-09T09:42:07.288383
2022,Week 13,9,Clemson,10-2,2025-08-09T09:42:07.288463
2022,Week 13,10,Kansas State,9-3,2025-08-09T09:42:07.288544
2022,Week 13,11,Utah,9-3,2025-08-09T09:42:07.288623
2022,Week 13,12,Washington,10-2,2025-08-09T09:42:07.288887
2022,Week 13,13,Florida State,9-3,2025-08-09T09:42:07.288985
2022,Week 13,14,LSU,9-3,2025-08-09T09:42:07.289113
2022,Week 13,15,Oregon State,9-3,2025-08-09T09:42:07.289237
2022,Week 13,16,Oregon,9-3,2025-08-09T09:42:07.289318
2022,Week 13,17,UCLA,9-3,2025-08-09T09:42:07.289443
2022,Week 13,18,Tulane,10-2,2025-08-09T09:42:07.289561
2022,Week 13,19,South Carolina,8-4,2025-08-09T09:42:07.289685
2022,Week 13,20,Texas,8-4,2025-08-09T09:42:07.289766
2022,Week 13,21,Notre Dame,8-4,2025-08-09T09:42:07.289848
2022,Week 13,22,UCF,9-3,2025-08-09T09:42:07.289948
2022,Week 13,23,North Carolina,9-3,2025-08-09T09:42:07.290047
2022,Week 13,24,Mississippi State,8-4,2025-08-09T09:42:07.290128
2022,Week 13,25,NC State,8-4,2025-08-09T09:42:07.290209
2022,Week 14,1,Georgia,13-0,2025-08-09T09:41:56.935574
2022,Week 14,2,Michigan,13-0,2025-08-09T09:41:56.935665
2022,Week 14,3,TCU,12-1,2025-08-09T09:41:56.935744
2022,Week 14,4,Ohio State,11-1,2025-08-09T09:41:56.935822
2022,Week 14,5,Alabama,10-2,2025-08-09T09:41:56.935899
2022,Week 14,6,Tennessee,10-2,2025-08-09T09:41:56.935977
2022,Week 14,7,Clemson,11-2,2025-08-09T09:41:56.936053
2022,Week 14,8,Utah,10-3,2025-08-09T09:41:56.936129
2022,Week 14,9,Kansas State,10-3,2025-08-09T09:41:56.936205
2022,Week 14,10,Southern California,11-2,2025-08-09T09:41:56.936281
2022,Week 14,11,Penn State,10-2,2025-08-09T09:41:56.936357
2022,Week 14,12,Washington,10-2,2025-08-09T09:41:56.936434
2022,Week 14,13,Florida State,9-3,2025-08-09T09:41:56.936510
2022,Week 14,14,Oregon State,9-3,2025-08-09T09:41:56.936587
2022,Week 14,15,Oregon,9-3,2025-08-09T09:41:56.936665
2022,Week 14,16,Tulane,11-2,2025-08-09T09:41:56.936743
2022,Week 14,17,LSU,9-4,2025-08-09T09:41:56.936820
2022,Week 14,18,UCLA,9-3,2025-08-09T09:41:56.936897
2022,Week 14,19,South Carolina,8-4,2025-08-09T09:41:56.936974
2022,Week 14,20,Texas,8-4,2025-08-09T09:41:56.937050
2022,Week 14,21,Notre Dame,8-4,2025-08-09T09:41:56.937126
2022,Week 14,22,Mississippi State,8-4,2025-08-09T09:41:56.937203
2022,Week 14,23,NC State,8-4,2025-08-09T09:41:56.937279
2022,Week 14,24,Troy,11-2,2025-08-09T09:41:56.937357
2022,Week 14,25,UTSA,11-2,2025-08-09T09:41:56.937433
2023,Week 10,1,Ohio State,9-0,2025-08-09T09:41:32.669435
2023,Week 10,2,Georgia,9-0,2025-08-09T09:41:32.669520
2023,Week 10,3,Michigan,9-0,2025-08-09T09:41:32.669595
2023,Week 10,4,Florida State,9-0,2025-08-09T09:41:32.669669
2023,Week 10,5,Washington,9-0,2025-08-09T09:41:32.669742
2023,Week 10,6,Oregon,8-1,2025-08-09T09:41:32.669815
2023,Week 10,7,Texas,8-1,2025-08-09T09:41:32.669889
2023,Week 10,8,Alabama,8-1,2025-08-09T09:41:32.669961
2023,Week 10,9,Mississippi,8-1,2025-08-09T09:41:32.670034
2023,Week 10,10,Penn State,8-1,2025-08-09T09:41:32.670106
2023,Week 10,11,Louisville,8-1,2025-08-09T09:41:32.670178
2023,Week 10,12,Oregon State,7-2,2025-08-09T09:41:32.670250
2023,Week 10,13,Tennessee,7-2,2025-08-09T09:41:32.670322
2023,Week 10,14,Missouri,7-2,2025-08-09T09:41:32.670394
2023,Week 10,15,Oklahoma State,7-2,2025-08-09T09:41:32.670467
2023,Week 10,16,Kansas,7-2,2025-08-09T09:41:32.670539
2023,Week 10,17,Oklahoma,7-2,2025-08-09T09:41:32.670612
2023,Week 10,18,Utah,7-2,2025-08-09T09:41:32.670684
2023,Week 10,19,LSU,6-3,2025-08-09T09:41:32.670756
2023,Week 10,20,Notre Dame,7-3,2025-08-09T09:41:32.670828
2023,Week 10,21,Arizona,6-3,2025-08-09T09:41:32.670899
2023,Week 10,22,Iowa,7-2,2025-08-09T09:41:32.670971
2023,Week 10,23,Tulane,8-1,2025-08-09T09:41:32.671043
2023,Week 10,24,North Carolina,7-2,2025-08-09T09:41:32.671115
2023,Week 10,25,Kansas State,6-3,2025-08-09T09:41:32.671186
2023,Week 11,1,Georgia,10-0,2025-08-09T09:41:22.385114
2023,Week 11,2,Ohio State,10-0,2025-08-09T09:41:22.385204
2023,Week 11,3,Michigan,10-0,2025-08-09T09:41:22.385284
2023,Week 11,4,Florida State,10-0,2025-08-09T09:41:22.385361
2023,Week 11,5,Washington,10-0,2025-08-09T09:41:22.385437
2023,Week 11,6,Oregon,9-1,2025-08-09T09:41:22.385514
